tp,fp,fn,precision,recall,f1,num_preds,num_gold,num_unique_preds,duplicate_rate,note_id
1,5,10,0.16666666666666666,0.09090909090909091,0.11764705882352942,6,11,6,0.0,16
2,1,9,0.6666666666666666,0.18181818181818182,0.28571428571428575,3,11,3,0.0,41
1,4,10,0.2,0.09090909090909091,0.12500000000000003,5,11,5,0.0,46
1,3,10,0.25,0.09090909090909091,0.13333333333333333,4,11,4,0.0,82
1,3,10,0.25,0.09090909090909091,0.13333333333333333,4,11,4,0.0,100
1,2,10,0.3333333333333333,0.09090909090909091,0.14285714285714288,3,11,3,0.0,161
1,1,10,0.5,0.09090909090909091,0.15384615384615385,2,11,2,0.0,188
2,2,9,0.5,0.18181818181818182,0.26666666666666666,4,11,4,0.0,211
0,5,11,0.0,0.0,0.0,5,11,5,0.0,224
1,1,10,0.5,0.09090909090909091,0.15384615384615385,2,11,2,0.0,225
1,9,10,0.1,0.09090909090909091,0.09523809523809525,10,11,10,0.0,234
2,1,9,0.6666666666666666,0.18181818181818182,0.28571428571428575,3,11,3,0.0,331
2,6,9,0.25,0.18181818181818182,0.2105263157894737,8,11,8,0.0,344
0,2,11,0.0,0.0,0.0,2,11,2,0.0,352
2,3,9,0.4,0.18181818181818182,0.25000000000000006,5,11,5,0.0,372
1,2,10,0.3333333333333333,0.09090909090909091,0.14285714285714288,3,11,3,0.0,390
2,1,9,0.6666666666666666,0.18181818181818182,0.28571428571428575,3,11,3,0.0,426
1,3,10,0.25,0.09090909090909091,0.13333333333333333,4,11,4,0.0,464
2,2,9,0.5,0.18181818181818182,0.26666666666666666,4,11,4,0.0,489
2,1,9,0.6666666666666666,0.18181818181818182,0.28571428571428575,3,11,3,0.0,495
2,1,9,0.6666666666666666,0.18181818181818182,0.28571428571428575,3,11,3,0.0,510
1,4,10,0.2,0.09090909090909091,0.12500000000000003,5,11,5,0.0,575
2,1,9,0.6666666666666666,0.18181818181818182,0.28571428571428575,3,11,3,0.0,583
2,3,9,0.4,0.18181818181818182,0.25000000000000006,5,11,5,0.0,585
2,1,9,0.6666666666666666,0.18181818181818182,0.28571428571428575,3,11,3,0.0,625
2,1,9,0.6666666666666666,0.18181818181818182,0.28571428571428575,3,11,3,0.0,653
0,2,11,0.0,0.0,0.0,2,11,2,0.0,669
0,1,11,0.0,0.0,0.0,1,11,1,0.0,673
0,3,11,0.0,0.0,0.0,3,11,3,0.0,699
1,2,10,0.3333333333333333,0.09090909090909091,0.14285714285714288,3,11,3,0.0,701
2,2,9,0.5,0.18181818181818182,0.26666666666666666,4,11,4,0.0,719
1,1,10,0.5,0.09090909090909091,0.15384615384615385,2,11,2,0.0,768
2,9,9,0.18181818181818182,0.18181818181818182,0.18181818181818182,11,11,11,0.0,769
2,2,9,0.5,0.18181818181818182,0.26666666666666666,4,11,4,0.0,777
2,2,9,0.5,0.18181818181818182,0.26666666666666666,4,11,4,0.0,796
0,2,11,0.0,0.0,0.0,2,11,2,0.0,804
1,2,10,0.3333333333333333,0.09090909090909091,0.14285714285714288,3,11,3,0.0,810
2,2,9,0.5,0.18181818181818182,0.26666666666666666,4,11,4,0.0,816
2,2,9,0.5,0.18181818181818182,0.26666666666666666,4,11,4,0.0,817
1,1,10,0.5,0.09090909090909091,0.15384615384615385,2,11,2,0.0,821
1,5,10,0.16666666666666666,0.09090909090909091,0.11764705882352942,6,11,6,0.0,831
2,1,9,0.6666666666666666,0.18181818181818182,0.28571428571428575,3,11,3,0.0,861
2,2,9,0.5,0.18181818181818182,0.26666666666666666,4,11,4,0.0,883
1,2,10,0.3333333333333333,0.09090909090909091,0.14285714285714288,3,11,3,0.0,970
1,3,10,0.25,0.09090909090909091,0.13333333333333333,4,11,4,0.0,977
2,2,9,0.5,0.18181818181818182,0.26666666666666666,4,11,4,0.0,987
1,3,10,0.25,0.09090909090909091,0.13333333333333333,4,11,4,0.0,1010
